time 	 RH 	 LH 
7691	 7691	 7691 
000.014	50.0000	50.0000	
000.075	50.0000	50.0000	
000.135	50.0000	50.0000	
000.197	50.0000	50.0000	
000.265	50.0000	50.0000	
000.327	50.0000	50.0000	
000.380	50.0000	50.0000	
000.445	49.4132	50.5868	
000.508	48.5302	51.4698	
000.572	47.4995	52.5005	
000.632	46.5389	53.4611	
000.697	45.5961	54.4039	
000.760	44.6615	55.3385	
000.824	43.9661	56.0339	
000.880	43.4073	56.5927	
000.944	43.1367	56.8633	
001.008	42.7859	57.2141	
001.071	42.4780	57.5220	
001.132	42.2881	57.7119	
001.196	42.2490	57.7510	
001.260	42.2033	57.7967	
001.324	42.2033	57.7967	
001.379	42.2033	57.7967	
001.443	42.2033	57.7967	
001.508	43.1731	56.8269	
001.572	44.2542	55.7458	
001.633	45.3053	54.6947	
001.696	46.4524	53.5476	
001.759	47.2259	52.7741	
001.824	47.8939	52.1061	
001.880	48.3114	51.6886	
001.944	48.7382	51.2618	
002.008	48.7382	51.2618	
002.072	48.7382	51.2618	
002.132	49.0531	50.9469	
002.196	49.0531	50.9469	
002.260	49.0531	50.9469	
002.332	49.0531	50.9469	
002.380	49.0531	50.9469	
002.444	49.0531	50.9469	
002.508	49.0531	50.9469	
002.571	49.4282	50.5718	
002.632	49.8512	50.1488	
002.696	49.8512	50.1488	
002.760	49.4897	50.5103	
002.824	48.5151	51.4849	
002.880	47.3845	52.6155	
002.944	46.1041	53.8959	
003.009	44.9732	55.0268	
003.072	43.7683	56.2317	
003.132	42.3029	57.6971	
003.196	40.8358	59.1642	
003.260	39.3881	60.6119	
003.324	37.9099	62.0901	
003.380	36.4435	63.5565	
003.444	35.0722	64.9278	
003.508	33.7617	66.2383	
003.572	32.4686	67.5314	
003.631	31.2482	68.7518	
003.696	30.1513	69.8487	
003.760	29.2337	70.7663	
7692	 7692	 7692 
7691	 7691	 7691 
000.033	51.5437	48.4563	
000.088	53.0079	46.9921	
000.156	54.1356	45.8644	
000.216	54.8817	45.1183	
000.280	55.4078	44.5922	
000.340	55.6733	44.3267	
000.404	55.7898	44.2102	
000.468	55.9144	44.0856	
000.532	55.9144	44.0856	
000.588	55.9144	44.0856	
000.656	56.1436	43.8564	
000.716	56.4109	43.5891	
000.780	56.7756	43.2244	
000.840	57.1271	42.8729	
000.904	57.4317	42.5683	
000.968	57.6499	42.3501	
001.032	58.1723	41.8277	
001.089	58.7316	41.2684	
001.156	59.3115	40.6885	
001.216	60.0290	39.9710	
001.280	60.5169	39.4831	
001.340	61.0609	38.9391	
001.406	61.2755	38.7245	
001.468	61.4760	38.5240	
001.532	61.7769	38.2231	
001.588	61.7397	38.2603	
001.656	61.7397	38.2603	
001.716	61.7397	38.2603	
001.780	60.8517	39.1483	
001.840	59.7448	40.2552	
001.904	59.7448	40.2552	
001.968	58.9055	41.0945	
002.032	57.9678	42.0322	
002.088	56.9005	43.0995	
002.156	56.0347	43.9653	
002.216	56.0347	43.9653	
002.280	55.4591	44.5409	
002.340	54.6209	45.3791	
002.404	54.0295	45.9705	
002.468	53.4664	46.5336	
002.532	52.8127	47.1873	
002.588	52.8127	47.1873	
002.656	52.8127	47.1873	
002.716	52.8127	47.1873	
002.780	53.0463	46.9537	
002.840	53.5018	46.4982	
002.905	53.5018	46.4982	
002.968	53.5018	46.4982	
003.032	53.0141	46.9859	
003.089	53.0141	46.9859	
003.156	52.0484	47.9516	
003.216	50.7358	49.2642	
003.280	49.5707	50.4293	
003.340	48.2678	51.7322	
003.406	46.9825	53.0175	
003.470	45.4034	54.5966	
003.532	43.7461	56.2539	
003.588	42.0946	57.9054	
003.656	40.3931	59.6069	
003.716	38.8366	61.1634	
003.780	37.3527	62.6473	
003.840	35.9044	64.0956	
003.904	34.5068	65.4932	
003.968	33.1005	66.8995	
004.032	31.8168	68.1832	
004.088	30.4312	69.5688	
004.156	29.0469	70.9531	
7692	 7692	 7692 
7701	 7701	 7701 
000.067	47.5423	52.4577	
000.126	45.2062	54.7938	
000.191	42.9892	57.0108	
000.251	40.8784	59.1216	
000.315	38.8769	61.1231	
000.375	36.9811	63.0189	
000.439	35.1775	64.8225	
000.503	33.4521	66.5479	
000.567	31.8138	68.1862	
000.627	30.2702	69.7298	
000.691	28.8191	71.1809	
7703	 7703	 7703 
7691	 7691	 7691 
000.011	48.7084	51.2916	
000.075	47.3685	52.6315	
000.135	46.0581	53.9419	
000.199	45.0550	54.9450	
000.263	43.9911	56.0090	
000.327	42.6382	57.3618	
000.387	41.2119	58.7881	
000.451	39.9157	60.0843	
000.511	38.7889	61.2111	
000.575	37.7444	62.2556	
000.635	36.6277	63.3723	
000.700	35.7996	64.2004	
000.763	35.4074	64.5926	
000.826	35.4074	64.5926	
000.886	35.8338	64.1662	
000.951	35.8338	64.1662	
001.011	36.7948	63.2052	
001.074	36.7948	63.2052	
001.135	36.7948	63.2052	
001.198	36.7948	63.2052	
001.262	36.7948	63.2052	
001.327	38.0073	61.9927	
001.386	39.1231	60.8769	
001.451	40.1844	59.8156	
001.511	41.1077	58.8923	
001.575	42.1168	57.8832	
001.635	43.3490	56.6510	
001.699	44.6658	55.3342	
001.763	45.9485	54.0515	
001.827	47.0538	52.9462	
001.887	48.2805	51.7195	
001.950	49.2004	50.7996	
002.011	49.9445	50.0555	
002.074	50.7333	49.2667	
002.134	51.3110	48.6890	
002.199	51.8106	48.1894	
002.263	52.3235	47.6765	
002.327	53.4326	46.5674	
002.387	54.6637	45.3363	
002.451	56.0336	43.9664	
002.511	57.4440	42.5561	
002.575	58.4920	41.5080	
002.635	59.3947	40.6053	
002.698	60.0987	39.9013	
002.762	60.7373	39.2627	
002.826	61.4124	38.5876	
002.887	61.8342	38.1658	
002.950	62.5549	37.4451	
003.011	63.0489	36.9511	
003.075	63.1664	36.8336	
003.134	63.3887	36.6113	
003.200	63.7037	36.2963	
003.262	63.6283	36.3717	
003.327	63.3744	36.6256	
003.387	63.3744	36.6256	
003.451	63.3744	36.6256	
003.510	62.4359	37.5641	
003.575	62.4359	37.5641	
003.635	61.4597	38.5403	
003.699	60.4001	39.5999	
003.762	59.3602	40.6398	
003.827	58.3704	41.6296	
003.887	57.6808	42.3192	
003.950	56.7822	43.2178	
004.011	56.1209	43.8791	
004.074	56.1209	43.8791	
004.134	55.4395	44.5605	
004.199	54.6309	45.3692	
004.263	54.0722	45.9278	
004.327	53.3996	46.6004	
004.386	52.3644	47.6356	
004.451	51.2442	48.7558	
004.510	50.0713	49.9287	
004.574	48.9010	51.0990	
004.635	47.9100	52.0900	
004.699	47.1154	52.8846	
004.763	46.6689	53.3311	
004.827	46.4396	53.5604	
004.887	46.0937	53.9063	
004.951	45.5521	54.4479	
005.011	44.8998	55.1002	
005.075	44.2700	55.7300	
005.135	43.8426	56.1574	
005.199	43.5598	56.4402	
005.263	43.3319	56.6681	
005.327	43.1815	56.8185	
005.386	44.0428	55.9572	
005.451	45.0947	54.9053	
005.511	46.2087	53.7913	
005.579	47.4420	52.5580	
005.635	48.5689	51.4311	
005.699	49.6604	50.3396	
005.763	50.5033	49.4967	
005.827	51.1835	48.8165	
005.887	52.2794	47.7206	
005.951	53.7040	46.2960	
006.011	55.2104	44.7896	
006.079	56.4519	43.5481	
006.135	57.6478	42.3521	
006.199	58.9339	41.0661	
006.263	59.8157	40.1843	
006.327	60.4454	39.5546	
006.387	61.0274	38.9726	
006.451	61.6884	38.3116	
006.511	62.4766	37.5234	
006.579	63.1478	36.8522	
006.635	63.8842	36.1158	
006.699	64.6738	35.3262	
006.762	65.4839	34.5161	
006.827	66.1299	33.8701	
006.887	66.3077	33.6923	
006.951	66.5674	33.4326	
007.011	66.7169	33.2831	
7692	 7692	 7692 
7701	 7701	 7701 
000.006	52.2129	47.7871	
000.069	54.2833	45.7167	
000.129	56.2462	43.7538	
000.197	58.1283	41.8717	
000.253	59.9025	40.0975	
000.317	61.5814	38.4186	
000.381	63.2056	36.7944	
000.446	64.6898	35.3102	
000.505	66.0823	33.9177	
000.570	67.4838	32.5162	
000.630	68.8212	31.1788	
000.698	70.1391	29.8609	
7702	 7702	 7702 
