time 	 RH 	 LH 
000.267	50.0000	50.0000	
000.328	50.0000	50.0000	
000.391	50.0000	50.0000	
000.455	50.0000	50.0000	
000.519	49.6969	50.3031	
000.579	49.3623	50.6377	
000.643	49.0402	50.9598	
000.703	48.7401	51.2599	
000.767	48.4140	51.5860	
000.827	48.1050	51.8950	
000.891	47.7118	52.2882	
000.956	47.1298	52.8702	
001.019	46.4776	53.5224	
001.080	46.0388	53.9612	
001.143	45.7899	54.2101	
001.203	45.7899	54.2101	
001.267	45.7899	54.2101	
001.327	45.7899	54.2101	
001.391	45.7899	54.2101	
001.455	45.7899	54.2101	
001.519	46.2578	53.7422	
001.579	46.7599	53.2401	
001.643	47.2337	52.7663	
001.703	47.2337	52.7663	
001.767	47.6361	52.3639	
001.827	47.6361	52.3639	
001.891	47.6361	52.3639	
001.955	47.6361	52.3639	
002.019	48.1589	51.8411	
002.079	48.5595	51.4405	
002.143	48.5595	51.4405	
002.203	48.3303	51.6697	
002.267	47.9578	52.0422	
002.327	47.5541	52.4459	
002.391	47.2405	52.7595	
002.456	46.8599	53.1401	
002.519	46.3173	53.6827	
002.579	45.9452	54.0548	
002.643	45.9452	54.0548	
002.703	45.9452	54.0548	
002.767	45.9452	54.0548	
002.828	45.9452	54.0548	
002.891	45.9452	54.0548	
002.955	45.9452	54.0548	
003.019	45.9452	54.0548	
003.079	45.8840	54.1160	
003.143	45.7563	54.2437	
003.203	45.6116	54.3884	
003.267	45.5080	54.4920	
003.328	45.3872	54.6128	
003.391	45.3104	54.6896	
003.455	45.3104	54.6896	
003.519	45.3104	54.6896	
003.579	45.3104	54.6896	
003.643	45.1467	54.8533	
003.703	44.9162	55.0838	
003.767	44.7981	55.2019	
003.827	44.7188	55.2812	
003.892	44.5151	55.4849	
003.955	44.1143	55.8857	
004.019	43.7289	56.2711	
004.079	43.3303	56.6697	
004.143	43.0219	56.9781	
004.203	42.7546	57.2454	
004.267	42.5852	57.4148	
004.327	42.5051	57.4949	
004.391	42.3974	57.6026	
004.455	42.2215	57.7785	
004.519	41.8266	58.1734	
004.580	41.3474	58.6526	
004.643	41.0874	58.9126	
004.703	40.9737	59.0263	
004.767	40.8473	59.1527	
004.828	40.6682	59.3318	
004.892	40.5374	59.4626	
004.955	40.5169	59.4831	
005.020	40.5269	59.4731	
005.080	40.6733	59.3267	
005.143	40.6733	59.3267	
005.203	40.6733	59.3267	
005.268	40.6733	59.3267	
005.328	40.6733	59.3267	
005.391	40.6733	59.3267	
005.455	40.6733	59.3267	
005.519	40.6733	59.3267	
005.579	40.6733	59.3267	
005.644	40.6733	59.3267	
005.703	40.6733	59.3267	
005.768	40.8864	59.1136	
005.829	40.8864	59.1136	
005.892	40.8864	59.1136	
005.956	41.0462	58.9538	
006.020	41.0800	58.9200	
006.079	41.0565	58.9435	
006.143	40.9198	59.0802	
006.203	40.6658	59.3342	
006.267	40.3952	59.6048	
006.328	40.1316	59.8684	
006.391	39.8843	60.1157	
7692	 7692	 7692 
7691	 7691	 7691 
000.023	51.3740	48.6260	
000.086	52.6293	47.3707	
000.147	53.6670	46.3330	
000.214	54.3485	45.6515	
000.271	54.7574	45.2426	
000.334	54.9754	45.0246	
000.398	55.1851	44.8149	
000.462	55.5101	44.4899	
000.522	55.7673	44.2327	
000.586	55.9018	44.0982	
000.646	56.0937	43.9063	
000.715	56.0915	43.9085	
000.771	56.0915	43.9085	
000.835	56.0915	43.9085	
000.899	55.3037	44.6963	
000.963	54.2666	45.7334	
001.022	53.0133	46.9867	
001.086	51.6788	48.3212	
001.146	50.3335	49.6665	
001.214	48.9673	51.0327	
001.271	47.6199	52.3801	
001.334	46.2074	53.7926	
001.399	44.7391	55.2609	
001.462	43.2670	56.7330	
001.522	41.9845	58.0155	
001.587	40.8108	59.1892	
001.646	39.8645	60.1355	
7692	 7692	 7692 
7691	 7691	 7691 
000.048	50.0000	50.0000	
000.113	49.6899	50.3101	
000.172	49.6899	50.3101	
000.236	49.6899	50.3101	
000.296	49.6899	50.3101	
000.364	49.6899	50.3101	
000.420	50.1318	49.8682	
000.484	50.8075	49.1925	
000.548	51.5979	48.4021	
000.612	52.3777	47.6223	
000.672	53.0506	46.9494	
000.736	53.6314	46.3686	
000.796	53.9487	46.0513	
000.864	54.2852	45.7148	
000.920	54.6724	45.3276	
000.985	55.1480	44.8520	
001.048	55.4994	44.5006	
