time 	 RH 	 LH 
7691	 7691	 7691 
000.053	49.4760	50.5240	
000.116	48.5627	51.4373	
000.175	47.5738	52.4261	
000.237	46.5676	53.4324	
000.305	45.6518	54.3482	
000.361	44.9575	55.0426	
000.425	44.4388	55.5612	
000.489	43.9717	56.0283	
000.545	43.8078	56.1922	
000.613	43.8078	56.1922	
000.673	44.9067	55.0933	
000.737	46.2545	53.7455	
000.797	47.5775	52.4225	
000.861	48.7545	51.2455	
000.925	49.9562	50.0438	
000.989	51.1292	48.8708	
001.045	52.2505	47.7495	
001.113	53.3294	46.6706	
001.172	54.3540	45.6460	
001.237	55.3609	44.6391	
001.297	56.3260	43.6740	
001.361	57.2332	42.7668	
7693	 7693	 7693 
7701	 7701	 7701 
000.045	50.6694	49.3306	
000.108	51.2975	48.7025	
000.168	51.8711	48.1289	
000.232	52.4494	47.5506	
000.292	52.9320	47.0680	
000.356	53.3778	46.6222	
000.420	53.4672	46.5328	
000.484	52.8827	47.1173	
000.544	52.3170	47.6830	
000.608	51.9482	48.0518	
000.668	51.5401	48.4599	
000.731	51.1032	48.8968	
000.792	50.6681	49.3319	
000.855	50.1703	49.8297	
000.929	49.7175	50.2825	
000.984	49.3287	50.6713	
001.044	49.7800	50.2200	
001.108	50.5595	49.4405	
001.167	51.3232	48.6768	
001.232	52.0561	47.9439	
001.292	52.7403	47.2597	
001.356	53.2894	46.7106	
001.420	53.8554	46.1446	
001.484	54.3644	45.6356	
001.544	54.7153	45.2847	
001.608	55.0528	44.9472	
001.668	55.4257	44.5743	
001.732	55.8477	44.1523	
001.792	56.2961	43.7039	
001.856	56.7859	43.2141	
001.920	57.3272	42.6728	
7702	 7702	 7702 
7701	 7701	 7701 
000.019	50.4663	49.5337	
000.083	49.7512	50.2488	
000.143	48.7481	51.2519	
000.208	47.7648	52.2352	
000.268	46.7984	53.2016	
000.331	45.8311	54.1689	
000.392	45.0597	54.9403	
000.456	44.4160	55.5840	
000.519	44.0015	55.9985	
000.583	43.6956	56.3044	
000.644	43.4941	56.5059	
000.708	43.3520	56.6480	
000.767	43.0708	56.9292	
000.836	42.6010	57.3990	
000.892	42.1086	57.8914	
000.955	41.8868	58.1132	
001.019	41.7480	58.2520	
001.083	41.7480	58.2520	
001.143	41.7480	58.2520	
001.208	41.7480	58.2520	
001.268	41.7480	58.2520	
001.335	41.7480	58.2520	
001.392	41.7480	58.2520	
001.455	41.7480	58.2520	
001.519	41.8410	58.1590	
001.583	41.8280	58.1720	
001.643	41.6714	58.3286	
001.707	41.4661	58.5339	
001.767	41.4908	58.5092	
001.835	41.5839	58.4161	
001.892	41.5839	58.4161	
001.955	41.5340	58.4660	
002.019	41.2776	58.7224	
002.083	40.6099	59.3901	
002.143	39.9052	60.0948	
002.208	39.3827	60.6173	
002.267	38.7973	61.2027	
002.335	38.3549	61.6451	
002.392	37.9645	62.0355	
002.455	37.6168	62.3832	
002.519	37.3398	62.6602	
002.583	37.1593	62.8407	
002.643	37.1061	62.8939	
002.707	37.2123	62.7877	
002.768	37.3287	62.6713	
002.836	37.3955	62.6045	
002.892	37.4842	62.5158	
002.955	37.4913	62.5087	
003.019	37.6776	62.3224	
003.083	37.9616	62.0384	
003.143	37.9616	62.0384	
003.207	38.1800	61.8200	
003.267	38.3325	61.6675	
003.335	38.4403	61.5597	
003.392	38.3937	61.6063	
003.456	38.3940	61.6060	
003.519	38.3073	61.6927	
003.583	37.9972	62.0028	
003.643	37.6425	62.3575	
003.707	37.3918	62.6082	
003.767	37.1586	62.8414	
003.835	37.2711	62.7289	
003.892	37.3543	62.6457	
003.955	37.4862	62.5138	
004.019	37.5910	62.4090	
004.083	37.6253	62.3747	
004.144	37.5286	62.4714	
004.208	37.4510	62.5490	
004.267	37.6524	62.3476	
004.335	37.9628	62.0372	
004.392	38.2471	61.7529	
004.456	38.4323	61.5677	
004.519	38.5664	61.4336	
004.583	38.7136	61.2864	
004.643	38.8631	61.1368	
004.707	38.9195	61.0805	
004.767	38.9350	61.0650	
004.835	38.7710	61.2290	
004.892	38.6901	61.3099	
