time 	 RH 	 LH 
7691	 7691	 7691 
000.077	51.6797	48.3203	
000.135	53.1836	46.8164	
000.189	54.7698	45.2302	
000.252	56.2548	43.7452	
000.324	57.4417	42.5582	
000.380	58.3835	41.6166	
000.440	59.3563	40.6437	
000.504	60.4734	39.5266	
000.568	61.6249	38.3751	
000.633	62.7435	37.2565	
000.688	63.8256	36.1744	
000.752	64.7518	35.2482	
000.816	65.7027	34.2973	
000.880	66.7651	33.2349	
000.940	67.8522	32.1478	
001.004	68.9446	31.0554	
001.068	70.1433	29.8567	
001.132	71.2703	28.7297	
001.189	72.2196	27.7804	
001.252	73.1639	26.8361	
001.317	74.0673	25.9327	
001.380	74.9149	25.0851	
001.440	75.7857	24.2143	
7693	 7693	 7693 
7691	 7691	 7691 
000.015	52.2187	47.7813	
000.079	54.3035	45.6965	
000.142	56.2709	43.7291	
000.198	58.0526	41.9474	
000.261	59.7932	40.2068	
000.326	61.5001	38.4999	
000.390	63.1357	36.8643	
000.450	64.6368	35.3632	
000.514	66.0427	33.9573	
000.578	67.3729	32.6271	
000.642	68.4644	31.5356	
000.698	69.3468	30.6532	
000.762	70.2271	29.7729	
000.835	71.0979	28.9021	
000.890	72.1106	27.8894	
000.950	73.1695	26.8305	
001.014	74.1709	25.8291	
001.078	75.1168	24.8832	
7693	 7693	 7693 
7701	 7701	 7701 
000.012	52.0127	47.9873	
000.068	53.8977	46.1023	
000.136	55.7146	44.2854	
000.196	57.3304	42.6696	
000.260	58.9939	41.0061	
000.320	60.6168	39.3832	
000.384	62.1268	37.8732	
000.448	63.5209	36.4791	
000.513	64.8447	35.1553	
000.568	66.0884	33.9116	
000.636	67.2355	32.7645	
000.696	68.1734	31.8266	
000.760	69.0956	30.9044	
000.820	69.9738	30.0262	
000.884	70.5799	29.4201	
000.948	70.5779	29.4221	
001.012	70.4428	29.5572	
001.068	70.0923	29.9077	
001.136	69.6496	30.3504	
001.196	69.2656	30.7344	
001.260	68.7950	31.2050	
001.321	68.7950	31.2050	
001.384	68.7950	31.2050	
001.449	68.7950	31.2050	
001.513	68.7950	31.2050	
001.569	67.4016	32.5984	
001.637	65.8105	34.1895	
001.697	64.0286	35.9714	
001.761	62.0724	37.9276	
001.821	60.0435	39.9565	
001.885	58.1306	41.8694	
001.949	56.3153	43.6847	
002.013	54.5140	45.4860	
002.069	53.1570	46.8430	
002.137	51.9756	48.0244	
002.197	50.7238	49.2762	
002.261	49.4224	50.5776	
002.321	48.1410	51.8590	
002.385	47.0749	52.9251	
002.449	45.9817	54.0183	
002.514	45.0761	54.9239	
002.569	44.4034	55.5966	
002.637	43.6384	56.3616	
002.697	42.8798	57.1202	
002.762	41.9345	58.0655	
002.821	41.0214	58.9786	
002.885	40.1090	59.8911	
002.949	39.1966	60.8034	
003.013	38.4813	61.5187	
003.069	37.6021	62.3979	
003.138	36.5501	63.4499	
003.200	35.5666	64.4334	
003.262	34.4943	65.5057	
003.321	33.5073	66.4927	
003.385	32.5874	67.4126	
003.450	31.7409	68.2591	
003.514	30.9134	69.0866	
003.570	30.0848	69.9152	
003.638	29.3658	70.6342	
003.698	28.7009	71.2991	
003.762	28.0789	71.9211	
003.822	27.5582	72.4418	
003.886	27.0829	72.9171	
003.950	26.7346	73.2654	
004.014	26.5462	73.4538	
004.070	26.2980	73.7020	
004.138	25.8985	74.1015	
004.198	25.5745	74.4255	
004.262	25.5513	74.4487	
004.322	25.8231	74.1769	
004.386	25.8103	74.1897	
004.450	26.0204	73.9796	
004.514	26.2528	73.7472	
004.570	26.6181	73.3819	
004.638	27.3556	72.6444	
004.699	27.3556	72.6444	
004.763	29.4629	70.5371	
004.822	31.5417	68.4583	
004.887	33.6934	66.3066	
004.950	36.0317	63.9683	
005.014	38.3834	61.6166	
005.071	40.8335	59.1665	
005.138	43.4872	56.5128	
005.198	46.1087	53.8913	
005.263	48.5684	51.4316	
005.322	50.9201	49.0799	
005.386	53.1823	46.8177	
005.451	55.2708	44.7292	
005.515	57.1989	42.8011	
005.571	58.9814	41.0186	
005.638	60.5477	39.4523	
005.698	61.9605	38.0395	
005.763	63.3615	36.6385	
005.822	64.6916	35.3084	
005.887	66.0005	33.9995	
005.951	67.2544	32.7456	
006.015	68.3988	31.6012	
006.071	69.4947	30.5052	
006.139	70.5551	29.4449	
006.199	71.5020	28.4980	
006.263	72.2004	27.7996	
006.323	72.7461	27.2539	
006.387	73.3183	26.6817	
006.451	73.9125	26.0875	
006.516	74.2662	25.7338	
006.571	74.8154	25.1846	
006.639	75.3526	24.6474	
7702	 7702	 7702 
7691	 7691	 7691 
000.042	52.0258	47.9742	
000.106	54.0466	45.9534	
000.170	55.9736	44.0264	
000.231	57.7982	42.2018	
000.294	59.4019	40.5981	
000.354	60.9581	39.0419	
000.420	62.3035	37.6965	
000.479	63.4058	36.5942	
000.543	64.3585	35.6415	
000.607	65.3253	34.6747	
