time 	 RH 	 LH 
7691	 7691	 7691 
000.035	51.4100	48.5900	
000.089	52.6147	47.3853	
000.151	53.9099	46.0901	
000.215	55.5277	44.4723	
000.285	57.2036	42.7964	
000.334	58.8001	41.1999	
000.399	60.0274	39.9726	
7693	 7693	 7693 
7701	 7701	 7701 
000.047	48.5234	51.4766	
000.110	47.0484	52.9516	
000.170	45.6943	54.3057	
000.234	44.3182	55.6818	
000.298	42.9113	57.0887	
000.362	41.5722	58.4278	
000.418	40.1663	59.8337	
000.482	38.7158	61.2842	
000.546	37.3043	62.6957	
000.610	35.9206	64.0794	
000.670	34.5603	65.4397	
000.734	33.2875	66.7125	
000.798	32.1750	67.8250	
000.862	31.1724	68.8276	
000.918	30.3462	69.6538	
000.982	29.5984	70.4016	
7703	 7703	 7703 
7691	 7691	 7691 
000.056	50.3926	49.6074	
000.115	51.0522	48.9478	
000.179	51.5860	48.4140	
000.243	51.9397	48.0603	
000.307	52.5476	47.4524	
000.363	53.3814	46.6186	
000.431	54.6262	45.3738	
000.491	55.9978	44.0022	
000.555	57.2882	42.7118	
000.615	58.5859	41.4141	
000.679	59.8410	40.1590	
000.753	61.1574	38.8426	
7693	 7693	 7693 
7701	 7701	 7701 
000.071	47.6302	52.3698	
000.131	45.3934	54.6066	
000.194	43.2777	56.7223	
000.254	41.2831	58.7169	
000.318	39.4433	60.5567	
000.382	37.7912	62.2088	
000.446	36.5185	63.4815	
000.507	35.2251	64.7749	
000.572	34.1590	65.8410	
000.631	33.5403	66.4597	
000.694	32.7762	67.2238	
000.754	31.9758	68.0242	
000.818	31.2335	68.7665	
000.882	30.6043	69.3957	
000.946	30.1746	69.8254	
001.006	29.6152	70.3848	
7703	 7703	 7703 
7701	 7701	 7701 
000.029	47.6073	52.3927	
000.088	45.3169	54.6831	
000.152	43.1373	56.8627	
000.212	41.0502	58.9498	
000.275	39.0730	60.9270	
000.336	37.1885	62.8115	
000.399	35.4189	64.5811	
000.463	33.7684	66.2316	
000.528	32.2288	67.7712	
000.588	30.7997	69.2003	
000.652	29.5541	70.4459	
7703	 7703	 7703 
7691	 7691	 7691 
000.059	47.9757	52.0243	
000.119	46.1406	53.8594	
000.187	44.4979	55.5021	
000.244	42.7996	57.2004	
000.307	41.2057	58.7943	
000.371	39.7703	60.2297	
000.435	38.4206	61.5794	
000.495	37.0156	62.9844	
000.560	35.6145	64.3855	
000.620	34.2736	65.7264	
000.687	33.1315	66.8685	
000.744	32.2276	67.7724	
000.807	31.2823	68.7177	
000.871	30.3126	69.6874	
000.935	29.4508	70.5492	
7692	 7692	 7692 
7691	 7691	 7691 
000.006	50.0000	50.0000	
000.070	50.0000	50.0000	
000.134	50.0000	50.0000	
000.198	50.0000	50.0000	
000.258	50.3260	49.6740	
000.322	50.5861	49.4139	
000.382	50.8292	49.1708	
000.450	51.2595	48.7405	
000.506	51.2595	48.7405	
000.570	51.2595	48.7405	
000.634	50.8488	49.1512	
000.698	50.2422	49.7578	
000.758	49.5479	50.4521	
000.822	48.8193	51.1807	
000.882	48.0738	51.9262	
000.950	47.3931	52.6069	
001.006	46.6054	53.3946	
001.070	45.8940	54.1060	
001.134	45.3859	54.6141	
001.198	44.9654	55.0346	
001.258	44.5569	55.4431	
001.323	44.3010	55.6990	
001.382	44.0652	55.9348	
001.450	43.9067	56.0933	
001.506	43.8825	56.1175	
001.570	43.5341	56.4659	
001.634	43.3742	56.6258	
001.698	43.3969	56.6031	
001.758	43.3969	56.6031	
001.822	43.3969	56.6031	
001.882	43.3969	56.6031	
001.950	43.3969	56.6031	
002.006	43.3969	56.6031	
002.070	43.3969	56.6031	
002.134	43.3969	56.6031	
002.198	43.2262	56.7738	
002.258	42.9892	57.0108	
002.322	42.7629	57.2371	
002.382	42.3932	57.6068	
002.450	42.0258	57.9742	
002.506	41.9171	58.0829	
002.570	42.0631	57.9369	
002.634	42.0631	57.9369	
002.698	42.0631	57.9369	
002.758	42.7785	57.2215	
002.822	43.5161	56.4839	
002.882	44.4328	55.5672	
002.950	45.4041	54.5959	
003.006	47.0421	52.9579	
003.070	49.0162	50.9838	
003.134	50.8677	49.1323	
003.198	52.5873	47.4127	
003.258	54.1666	45.8334	
003.322	55.6955	44.3045	
003.382	57.3127	42.6873	
003.450	58.8726	41.1274	
003.506	60.4142	39.5858	
7693	 7693	 7693 
7691	 7691	 7691 
000.029	48.8050	51.1950	
000.092	47.6094	52.3906	
000.157	46.3961	53.6039	
000.220	45.1092	54.8908	
000.280	43.8903	56.1097	
000.345	42.7944	57.2056	
000.408	41.8510	58.1490	
000.472	41.2348	58.7652	
000.528	40.9056	59.0944	
000.592	40.6354	59.3646	
000.656	40.4245	59.5755	
000.720	40.2284	59.7716	
000.780	40.2284	59.7716	
000.844	41.0770	58.9230	
000.908	42.2919	57.7081	
000.972	43.7885	56.2115	
001.028	45.6011	54.3989	
001.092	47.5039	52.4961	
001.156	49.3795	50.6205	
001.220	51.0816	48.9184	
001.280	52.3835	47.6165	
001.344	53.5940	46.4060	
001.408	54.6609	45.3391	
001.472	55.6419	44.3581	
001.528	56.6126	43.3874	
001.592	57.3714	42.6286	
001.656	57.8727	42.1273	
001.720	58.3542	41.6458	
001.780	58.8321	41.1679	
001.844	59.3125	40.6875	
001.908	59.5840	40.4160	
001.972	59.6424	40.3576	
002.028	59.5168	40.4832	
002.093	59.4800	40.5200	
002.156	59.6737	40.3263	
002.220	60.2060	39.7940	
7693	 7693	 7693 
7691	 7691	 7691 
000.057	50.0000	50.0000	
000.117	50.0000	50.0000	
000.181	50.7265	49.2735	
000.243	51.7714	48.2286	
000.305	52.9238	47.0762	
000.369	53.9179	46.0821	
000.433	54.9557	45.0443	
000.490	56.1965	43.8035	
000.557	57.6105	42.3895	
000.617	58.9889	41.0111	
000.681	60.2717	39.7283	
7693	 7693	 7693 
7701	 7701	 7701 
000.037	47.6707	52.3293	
000.097	45.4415	54.5585	
000.161	43.3311	56.6689	
000.221	41.3551	58.6449	
000.285	39.4983	60.5017	
000.349	37.7755	62.2245	
000.413	36.0915	63.9085	
000.469	34.4281	65.5719	
000.537	32.9153	67.0847	
000.597	31.5262	68.4738	
000.661	30.2580	69.7420	
000.721	29.0105	70.9895	
7703	 7703	 7703 
7691	 7691	 7691 
000.005	47.7315	52.2686	
000.069	45.5690	54.4310	
000.133	43.5138	56.4862	
000.197	41.5421	58.4579	
000.257	39.6725	60.3275	
000.321	37.9606	62.0394	
000.381	36.4446	63.5554	
000.445	35.1542	64.8458	
000.505	34.0814	65.9186	
000.569	33.3681	66.6319	
000.633	32.9362	67.0638	
000.697	32.5783	67.4217	
000.757	32.2262	67.7738	
000.821	32.0763	67.9237	
000.881	32.0473	67.9527	
000.945	32.0927	67.9073	
001.005	32.1071	67.8929	
001.070	32.4909	67.5091	
001.134	32.4909	67.5091	
001.197	32.4909	67.5091	
001.257	33.9852	66.0148	
001.321	35.7987	64.2013	
001.381	37.6555	62.3445	
001.445	39.3237	60.6763	
001.505	41.0400	58.9600	
001.569	42.6149	57.3851	
001.633	44.3043	55.6957	
001.697	46.0727	53.9273	
001.757	47.8398	52.1602	
001.821	49.5684	50.4316	
001.881	51.0966	48.9034	
001.946	52.5605	47.4395	
002.005	54.0202	45.9798	
002.069	55.4206	44.5794	
002.133	56.5763	43.4237	
002.197	57.7555	42.2445	
002.257	58.6549	41.3451	
002.321	59.4437	40.5563	
002.381	60.2272	39.7728	
7693	 7693	 7693 
7701	 7701	 7701 
000.010	47.6931	52.3069	
000.073	45.5470	54.4530	
000.137	43.6353	56.3647	
000.198	41.9778	58.0222	
000.262	40.6003	59.3997	
000.322	39.5528	60.4472	
000.390	38.7535	61.2465	
000.446	38.3648	61.6352	
000.510	38.3281	61.6719	
000.574	38.3564	61.6436	
000.638	39.2239	60.7761	
000.697	39.2239	60.7761	
000.761	38.7855	61.2145	
000.821	38.3198	61.6802	
000.890	37.7257	62.2743	
000.946	37.2108	62.7892	
001.011	36.4976	63.5024	
001.074	35.7574	64.2426	
001.138	35.1548	64.8452	
001.198	34.4772	65.5228	
001.262	33.4852	66.5148	
001.322	32.7955	67.2045	
001.390	32.2698	67.7302	
001.446	32.0713	67.9287	
001.510	31.7886	68.2114	
001.574	31.4021	68.5979	
001.638	30.9243	69.0757	
001.698	30.5725	69.4275	
001.762	30.7292	69.2708	
001.822	31.1984	68.8016	
001.890	31.1984	68.8016	
001.946	31.1984	68.8016	
002.010	31.1984	68.8016	
002.074	31.1984	68.8016	
002.138	31.1984	68.8016	
002.198	31.1984	68.8016	
002.262	31.1984	68.8016	
002.322	31.1984	68.8016	
002.390	31.1984	68.8016	
002.446	31.1984	68.8016	
002.510	31.8636	68.1364	
002.574	31.8636	68.1364	
002.638	31.8636	68.1364	
002.698	31.8636	68.1364	
002.762	32.2217	67.7783	
002.822	32.4263	67.5737	
002.890	32.5733	67.4267	
002.946	32.9930	67.0070	
003.010	33.4732	66.5268	
003.074	33.7942	66.2058	
003.138	33.7896	66.2104	
003.198	34.2482	65.7518	
003.262	34.2482	65.7518	
003.322	34.2482	65.7518	
003.390	34.2482	65.7518	
003.446	35.4355	64.5645	
003.510	36.7142	63.2858	
003.574	38.1005	61.8995	
003.638	39.1369	60.8631	
003.698	39.9639	60.0361	
003.764	39.9639	60.0361	
003.822	39.9639	60.0361	
003.890	39.9639	60.0361	
003.946	39.9639	60.0361	
004.010	39.9639	60.0361	
004.074	39.9639	60.0361	
004.138	39.9639	60.0361	
004.198	40.1142	59.8858	
004.262	39.7762	60.2238	
004.322	39.3232	60.6768	
004.390	39.0095	60.9905	
004.447	38.4073	61.5927	
004.510	37.5200	62.4800	
004.574	36.1966	63.8034	
004.638	34.9205	65.0795	
004.698	33.6482	66.3518	
004.762	32.4290	67.5710	
004.822	31.2896	68.7104	
004.890	30.1774	69.8226	
004.946	29.1000	70.9000	
7703	 7703	 7703 
7691	 7691	 7691 
000.014	48.1216	51.8784	
000.078	46.6161	53.3839	
000.142	45.5479	54.4521	
000.198	44.9320	55.0680	
000.262	44.9320	55.0680	
000.327	45.8139	54.1861	
000.390	45.8139	54.1861	
000.450	45.7478	54.2522	
000.514	45.6782	54.3218	
000.578	45.2076	54.7924	
000.643	44.2694	55.7306	
000.698	43.0982	56.9018	
000.763	41.9250	58.0750	
000.827	40.7493	59.2507	
000.890	39.6310	60.3690	
000.950	38.5577	61.4423	
001.014	37.5247	62.4753	
001.078	36.4975	63.5025	
001.143	35.6595	64.3404	
001.198	34.9430	65.0570	
001.262	34.2436	65.7564	
001.326	33.8950	66.1050	
001.392	34.1030	65.8970	
001.451	34.5194	65.4806	
