time 	 RH 	 LH 
7691	 7691	 7691 
000.066	50.0000	50.0000	
000.122	50.0000	50.0000	
000.186	50.6711	49.3289	
000.243	51.1518	48.8482	
000.314	51.7602	48.2398	
000.368	52.4957	47.5043	
000.431	53.5139	46.4861	
000.495	54.5367	45.4633	
000.559	55.9747	44.0253	
000.619	57.5209	42.4791	
000.683	59.1623	40.8377	
000.743	60.6003	39.3997	
7693	 7693	 7693 
7691	 7691	 7691 
000.041	48.0597	51.9403	
000.104	46.2591	53.7409	
000.164	44.6566	55.3434	
000.228	43.2223	56.7777	
000.288	42.0595	57.9405	
000.356	41.1997	58.8003	
000.412	40.6274	59.3726	
000.476	40.1793	59.8207	
000.540	40.4199	59.5801	
000.604	40.4199	59.5801	
000.664	41.2197	58.7803	
000.728	41.2197	58.7803	
000.789	41.2197	58.7803	
000.856	41.3719	58.6281	
000.912	41.1457	58.8543	
000.976	40.9532	59.0468	
001.040	40.5320	59.4680	
001.104	40.2153	59.7847	
001.164	39.5889	60.4111	
001.228	39.3281	60.6719	
001.287	39.0467	60.9533	
001.355	39.0467	60.9533	
001.412	39.1252	60.8748	
001.475	39.0438	60.9562	
001.549	39.0120	60.9880	
001.603	39.2923	60.7077	
001.663	39.2923	60.7077	
001.727	40.4792	59.5208	
001.787	41.9644	58.0356	
001.855	43.4357	56.5643	
001.912	44.9685	55.0315	
001.975	46.1394	53.8606	
002.039	47.4498	52.5502	
002.103	48.7934	51.2066	
002.163	50.3320	49.6680	
002.228	51.5772	48.4228	
002.288	52.7622	47.2378	
002.355	54.0374	45.9626	
002.411	55.5431	44.4569	
002.475	57.1634	42.8366	
002.539	58.7880	41.2120	
002.603	60.2859	39.7141	
7693	 7693	 7693 
7701	 7701	 7701 
000.031	48.3497	51.6503	
000.091	46.9302	53.0698	
000.159	45.5433	54.4567	
000.215	43.9960	56.0040	
000.279	42.5606	57.4394	
000.343	41.0287	58.9713	
000.407	39.6521	60.3479	
000.467	38.3681	61.6319	
000.532	37.0983	62.9017	
000.595	35.8239	64.1761	
000.660	34.5524	65.4476	
000.715	33.2147	66.7853	
000.779	31.8132	68.1868	
000.843	30.4182	69.5818	
000.907	29.1182	70.8818	
000.967	27.9699	72.0301	
001.031	26.8268	73.1732	
001.095	25.7920	74.2080	
001.159	24.8504	75.1495	
7703	 7703	 7703 
7701	 7701	 7701 
000.052	47.7785	52.2215	
000.116	45.6555	54.3445	
000.180	43.5783	56.4217	
000.243	41.5430	58.4570	
000.303	39.5861	60.4139	
000.367	37.7112	62.2888	
000.431	35.9200	64.0800	
000.495	34.2746	65.7254	
000.551	32.7784	67.2216	
000.616	31.4982	68.5018	
000.679	30.4615	69.5385	
000.743	29.5734	70.4266	
000.803	28.8779	71.1221	
000.868	28.2809	71.7191	
000.931	27.7013	72.2987	
000.995	27.2355	72.7645	
001.051	26.7899	73.2101	
001.115	26.7873	73.2127	
001.179	27.4203	72.5797	
001.243	27.4203	72.5797	
001.303	29.4528	70.5472	
001.367	31.8862	68.1138	
001.431	34.3248	65.6752	
001.495	36.5606	63.4394	
001.551	38.7393	61.2607	
001.616	40.7351	59.2649	
001.679	42.5488	57.4512	
001.743	44.1722	55.8278	
001.803	45.4104	54.5896	
001.868	46.7638	53.2362	
001.931	48.2921	51.7079	
001.995	49.7867	50.2133	
002.051	51.1817	48.8183	
002.115	52.4628	47.5372	
002.179	53.5681	46.4319	
002.243	54.3254	45.6746	
002.303	54.3937	45.6063	
002.367	54.3937	45.6063	
002.431	54.3937	45.6063	
002.495	54.3937	45.6063	
002.551	54.3937	45.6063	
002.615	54.3937	45.6063	
002.679	54.3937	45.6063	
002.743	53.6933	46.3067	
002.803	52.6302	47.3698	
002.868	51.5075	48.4925	
002.931	50.1324	49.8676	
002.995	48.5637	51.4363	
003.051	47.0519	52.9481	
003.115	45.6518	54.3482	
003.179	44.1896	55.8104	
003.243	42.8876	57.1124	
003.303	41.7880	58.2120	
003.367	40.8184	59.1816	
003.431	39.9507	60.0493	
003.495	39.0696	60.9304	
003.551	38.1761	61.8239	
003.615	37.2066	62.7934	
003.679	36.2365	63.7635	
003.743	35.2993	64.7007	
003.803	34.8192	65.1808	
003.868	34.4065	65.5935	
003.931	34.2254	65.7746	
003.995	34.5541	65.4459	
004.051	34.5541	65.4459	
004.115	34.5541	65.4459	
004.179	35.7158	64.2842	
004.243	36.8667	63.1333	
004.303	38.3955	61.6045	
004.367	39.8016	60.1984	
004.431	40.9017	59.0983	
004.495	41.9621	58.0379	
004.551	43.4933	56.5067	
004.615	45.1226	54.8774	
004.679	47.1499	52.8501	
004.743	49.3035	50.6965	
004.803	51.3649	48.6351	
004.867	53.4137	46.5863	
004.931	55.4298	44.5702	
004.995	57.3661	42.6339	
005.051	59.1785	40.8215	
